dia,precio,ocupado,
17/06/2022,40,0,
18/06/2022,53,0,
19/06/2022,41,0,
20/06/2022,60,1,
21/06/2022,41,1,
22/06/2022,49,0,
23/06/2022,46,1,
24/06/2022,54,0,
25/06/2022,65,1,
26/06/2022,31,1,
27/06/2022,61,0,
28/06/2022,35,1,
29/06/2022,31,1,
30/06/2022,31,0,
31/06/2022,55,1,
01/07/2022,52,0,
02/07/2022,56,1,
06/07/2022,61,1,
07/07/2022,54,1,
05/07/2022,65,0,
06/07/2022,54,1,
07/07/2022,68,1,
08/07/2022,35,1,
09/07/2022,69,1,
10/07/2022,62,0,
11/07/2022,48,0,
12/07/2022,43,0,
13/07/2022,50,0,
14/07/2022,33,0,
15/07/2022,48,0,
16/07/2022,42,1,
17/07/2022,32,1,
18/07/2022,52,0,
19/07/2022,44,1,
20/07/2022,52,1,
21/07/2022,35,1,
22/07/2022,67,0,
23/07/2022,60,0,
24/07/2022,67,0,
25/07/2022,38,1,
26/07/2022,39,0,
27/07/2022,62,1,
28/07/2022,49,0,
29/07/2022,49,0,
30/07/2022,46,0,
01/05/2022,49,1,
02/05/2022,39,1,
06/05/2022,62,1,
07/05/2022,61,1,
05/05/2022,38,1,
06/05/2022,38,1,
07/05/2022,52,1,
08/05/2022,69,0,
09/05/2022,50,1,
10/05/2022,45,1,
